drug_name,generic_name,indications,dosage,warnings
Acretin 30 g cream,Tretinoin 0.05%,علاج حب الشباب والتجاعيد وتجديد خلايا الجلد,تطبق كمية صغيرة على الجلد النظيف الجاف مرة يومياً ليلاً,تجنب الشمس أثناء الاستخدام. قد يسبب احمراراً وتقشراً في البداية. يمنع في الحمل
Adol 24 caplets,Paracetamol 500mg,خافض للحرارة ومسكن للآلام الخفيفة والمتوسطة,قرص إلى قرصين كل 4-6 ساعات. الحد الأقصى 8 أقراص يومياً,لا تتجاوز الجرعة. خطر على الكبد عند الجرعات الزائدة. تجنب مع الكحول
Aggrex 60 tablets,Acetylsalicylic Acid 75mg,الوقاية من جلطات القلب والمخ عند مرضى القلب,قرص واحد يومياً بعد الطعام,يمنع للأطفال. يمنع عند قرحة المعدة. خطر نزيف
Airoplast nan Tape,Medical Adhesive Tape,تثبيت الضمادات والأجهزة الطبية على الجلد,تُقطع بالحجم المناسب وتُلصق على الجلد الجاف النظيف,للاستخدام الطبي الخارجي. لا تُلصق على الجروح المفتوحة مباشرة
All-Vent 125 ml syrup,Salbutamol + Bromhexine,علاج ضيق التنفس والربو مع البلغم عند الأطفال,الجرعة حسب العمر والوزن. راجع التعليمات أو الطبيب,يستخدم بحذر عند أمراض القلب. قد يسبب رعشة وتسارع ضربات القلب
Alphintern 30 tablets,Bromelain + Trypsin + Rutoside,علاج الالتهابات والتورم والكدمات بعد الإصابات والعمليات,قرص إلى قرصين 3 مرات يومياً بين الوجبات,يمنع عند اضطرابات النزيف. يستخدم بحذر مع مضادات التخثر
Ambezim-G 30 tablets,Papain + Bromelain + Enzymes,مساعدة الهضم وعلاج سوء الهضم والانتفاخ,قرص إلى قرصين مع كل وجبة,يستخدم بحذر عند الحساسية من الأناناس أو البابايا
Amrizole 20 tablets,Metronidazole 500mg,علاج الالتهابات البكتيرية واللاهوائية والطفيليات والجيارديا,قرص واحد 3 مرات يومياً لمدة 5-10 أيام,يمنع تناول الكحول أثناء العلاج وحتى 48 ساعة بعده. يسبب غثياناً
Antopral 14 tablets,Pantoprazole 40mg,علاج قرحة المعدة والارتجاع المريئي وحرقة المعدة,قرص واحد يومياً قبل الأكل بنصف ساعة,الاستخدام المطول يقلل امتصاص المغنيسيوم. يستخدم بوصفة طبية
Anuva 10 tablets,Norethisterone 5mg,تأجيل الدورة الشهرية وعلاج اضطراباتها والنزيف الرحمي,قرص إلى قرصين 3 مرات يومياً حسب تقدير الطبيب,يمنع عند تاريخ الجلطات. يستخدم بوصفة طبية
Apidone nan syrup,Domperidone Syrup,علاج الغثيان والقيء وتسريع إفراغ المعدة عند الأطفال,الجرعة حسب وزن الطفل. راجع التعليمات أو الطبيب,لا تتجاوز الجرعة. يستخدم بحذر عند أمراض القلب
Asmakast 30 tablets,Montelukast 10mg,علاج الربو التحسسي والوقاية من نوبات الربو وحمى القش,قرص واحد يومياً مساءً,قد يؤثر على المزاج والنوم عند بعض المرضى. أبلغ طبيبك
Atoreza 28 tablets,Atorvastatin 10-40mg,علاج ارتفاع الكوليسترول والوقاية من أمراض القلب,قرص واحد يومياً في أي وقت,قد يسبب آلام عضلية. راقب وظائف الكبد. يمنع في الحمل
Augmentin 14 tablets,Amoxicillin + Clavulanic Acid,علاج التهابات الجهاز التنفسي والجلد والمسالك البولية والأذن,قرص واحد كل 12 ساعة مع الطعام لمدة 5-14 يوم,قد يسبب حساسية لمرضى البنسلين. يسبب اضطرابات هضمية
Avosoya 30 capsules,Soy Isoflavones + Vitamins,تخفيف أعراض سن اليأس والحفاظ على صحة العظام,كبسولة واحدة إلى اثنتين يومياً مع الطعام,مكمل غذائي طبيعي. استشر طبيبك إذا كان لديك سرطان هرموني
B.B.C. 25 ml spray solution,Benzocaine + Benzalkonium + Chlorhexidine,تخفيف ألم الحلق وتطهيره وعلاج التهاباته,رشة إلى رشتين في الحلق كل 2-3 ساعات,لا تبتلع. للاستخدام الخارجي في الحلق. لا يعطى للأطفال الصغار
